ProviderKey,PurchasePriceExclVat_CHF,SuggestedRetailPriceInclVat_CHF,VatRatePercentage
WEL_841333131982,30.50,,8.1
WEL_841333132262,30.50,,8.1
WEL_841333131975,30.50,,8.1
WEL_841333132330,30.50,,8.1
WEL_841333132309,30.50,,8.1
WEL_841333132316,30.50,,8.1
WEL_841333132323,23.50,,8.1
WEL_841333132057,23.50,,8.1
WEL_9781640787032,35.50,,8.1
WEL_9781640787018,76.50,,8.1
WEL_850060996337,50.50,,8.1
WEL_9781640787001,96.50,,8.1
WEL_9781640786998,76.50,,8.1
WEL_9781640787049,24.00,,8.1
WEL_9781640787025,19.00,,8.1
WEL_9781640787063,35.00,,8.1
WEL_9781640787407,41.50,,8.1
WEL_810270039224,18.00,,8.1
WEL_604565354181,48.00,,8.1
WEL_5060579764050,20.50,,8.1
WEL_5060579763992,32.50,,8.1
WEL_5060579763626,19.00,,8.1
WEL_5060579760625,16.50,,8.1
WEL_741049185371,82.00,,8.1
WEL_4015566605879,64.50,,8.1
WEL_841333126742,82.00,,8.1
WEL_4251715418161,19.00,,8.1
WEL_2000000000718,36.50,,8.1
WEL_0850052382278,56.50,,8.1
WEL_672975032241,25.00,,8.1
WEL_672975032234,25.00,,8.1
WEL_653341027900,57.00,,8.1
WEL_810119410405,38.50,,8.1
WEL_810155272425,150.00,,8.1
WEL_810119410399,38.50,,8.1
WEL_810155272494,23.50,,8.1
WEL_4005555016236,25.00,,8.1
WEL_4005555016250,25.00,,8.1
WEL_4005555016243,25.00,,8.1
WEL_4005555016267,25.00,,8.1
WEL_4005555016229,25.00,,8.1
WEL_4005555016212,25.00,,8.1
WEL_841333132071,36.50,,8.1
WEL_841333131968,36.50,,8.1
WEL_3558380134503,26.50,,8.1
WEL_0841333131906,30.50,,8.1
WEL_9781952885082,48.00,,8.1
WEL_0841333135461,30.50,,8.1
WEL_0841333131838,122.00,,8.1
WEL_0841333135379,122.00,,8.1
WEL_0841333131869,297.00,,8.1
WEL_5070003553464,48.00,,8.1
WEL_0841333131845,39.00,,8.1
WEL_196214109315,59.00,,8.1
WEL_5706569150662,16.00,,8.1
WEL_5706569150679,16.00,,8.1
WEL_0810082831955,59.00,,8.1
WEL_0810082831931,116.00,,8.1
WEL_4050368986313,27.50,,8.1
WEL_0601982023058,14.50,,8.1
WEL_601982009984,14.50,,8.1
WEL_601982009922,14.50,,8.1
WEL_601982009939,14.50,,8.1
WEL_601982009946,14.50,,8.1
WEL_601982009892,14.50,,8.1
WEL_601982009908,14.50,,8.1
WEL_810011728189,113.00,,8.1
WEL_601982009991,14.50,,8.1
WEL_601982009915,14.50,,8.1
WEL_601982009960,14.50,,8.1
WEL_601982012335,14.50,,8.1
WEL_4260402316925,17.50,,8.1
WEL_810011727922,89.00,,8.1
WEL_850024976443,66.00,,8.1
WEL_4250231743696,43.50,,8.1
WEL_4250231742170,15.50,,8.1
WEL_4250231742194,15.50,,8.1
WEL_650414644613,26.00,,8.1
WEL_841333131838,647.00,,8.1
WEL_0841333135416,39.00,,8.1
WEL_810011727960,52.50,,8.1
WEL_850037822720,27.50,,8.1
WEL_810123697960,13.50,,8.1
WEL_810123697526,104.50,,8.1
WEL_9781638612070,56.00,,8.1
WEL_634482963722,10.00,,8.1
WEL_634482963654,10.00,,8.1
WEL_634482963661,10.00,,8.1
WEL_634482963678,10.00,,8.1
WEL_634482963685,10.00,,8.1
WEL_634482963692,10.00,,8.1
WEL_634482963708,10.00,,8.1
WEL_634482963715,10.00,,8.1
WEL_700304159646,31.00,,8.1
WEL_700304159687,70.50,,8.1
WEL_3558380132202,57.50,,8.1
WEL_196744003312,26.00,,8.1
WEL_6425453001987,36.50,,8.1
WEL_6425453001819,31.00,,8.1
WEL_850052382261,34.50,,8.1
WEL_850052382254,66.00,,8.1
WEL_5905289601427,70.50,,8.1
WEL_196214119048,217.50,,8.1
WEL_5905289601212,126.50,,8.1
WEL_5905289601144,85.00,,8.1
WEL_5905289602356,44.00,,8.1
WEL_5905289602660,57.50,,8.1
WEL_5905289601564,70.50,,8.1
WEL_741049185418,77.50,,8.1
WEL_850045365660,19.50,,8.1
WEL_850045365677,19.50,,8.1
WEL_850052382062,161.50,,8.1
WEL_850052382179,23.50,,8.1
WEL_850052382209,23.50,,8.1
WEL_850052382186,23.50,,8.1
WEL_810100190088,59.00,,8.1
WEL_807658001409,82.00,,8.1
WEL_0841333133788,70.50,,8.1
WEL_4250231740718,31.00,,8.1
WEL_9783969281604,19.50,,8.1
WEL_9783969281635,25.00,,8.1
WEL_841333132200,36.50,,8.1
WEL_841333131951,36.50,,8.1
WEL_0841333132903,41.00,,8.1
WEL_0841333133573,48.00,,8.1
WEL_0841333133450,59.00,,8.1
WEL_0841333133481,59.00,,8.1
WEL_0841333132897,40.00,,8.1
WEL_0841333133474,59.00,,8.1
WEL_5010996322890,48.00,,8.1
WEL_5010996356628,48.00,,8.1
WEL_5010994172473,65.00,,8.1
WEL_5010993940431,167.50,,8.1
WEL_850056808132,36.50,,8.1
WEL_0841333134471,25.00,,8.1
WEL_0841333132118,25.00,,8.1
WEL_841333134334,42.50,,8.1
WEL_196744014295,18.00,,8.1
WEL_687700235354,42.50,,8.1
WEL_0810155272876,44.50,,8.1
WEL_0810155272869,44.50,,8.1
WEL_0810155272883,44.50,,8.1
WEL_0810155272852,44.50,,8.1
WEL_0810155272890,24.50,,8.1
WEL_0196852874163,29.00,,8.1
WEL_3770009354592,79.50,,8.1
WEL_0196852863938,82.00,,8.1
WEL_9781640787070,59.00,,8.1
WEL_0841333131265,25.00,,8.1
WEL_3558380131168,36.50,,8.1
WEL_3558380108351,29.00,,8.1
WEL_850056808026,27.00,,8.1
WEL_850056808040,27.00,,8.1
WEL_9781640787087,24.00,,8.1
WEL_5060616471347,19.50,,8.1
WEL_5060616471354,19.50,,8.1
WEL_4050368988027,30.00,,8.1
WEL_4050368988034,30.00,,8.1
WEL_4050368900074,65.00,,8.1
WEL_4050368987877,65.00,,8.1
WEL_4050368987884,65.00,,8.1
WEL_4050368988133,144.50,,8.1
WEL_4050368988140,144.50,,8.1
WEL_5060579761660,16.00,,8.1
WEL_3558380131021,25.00,,8.1
WEL_9001890726996,45.00,,8.1
WEL_4260705310484,31.00,,8.1
WEL_0618149324064,24.00,,8.1
WEL_4260705310477,59.00,,8.1
WEL_0194735293742,36.50,,8.1
WEL_4250231743795,74.00,,8.1
WEL_4250231743498,25.00,,8.1
WEL_4250231743894,40.00,,8.1
WEL_0601982049874,14.00,,8.1
WEL_0792273253329,24.50,,8.1
WEL_0792273253312,24.50,,8.1
WEL_0637836626892,51.50,,8.1
WEL_4260705310521,54.00,,8.1
WEL_4250231742217,24.00,,8.1
WEL_4250231743757,19.50,,8.1
WEL_5902560384703,55.50,,8.1
WEL_0687700235507,59.00,,8.1
WEL_8056324762300,43.00,,8.1
WEL_9783963313660,59.00,,8.1
WEL_9781955133111,48.00,,8.1
WEL_0894769000445,31.00,,8.1
WEL_9783963313578,59.00,,8.1
WEL_9781737372547,45.00,,8.1
WEL_0627987406214,127.50,,8.1
WEL_3701551703613,15.50,,8.1
WEL_0841333132248,41.00,,8.1
WEL_8720077338647,36.00,,8.1
WEL_3558380114598,57.00,,8.1
WEL_7090069290002,76.50,,8.1
WEL_8056324762560,24.50,,8.1
WEL_8056324762546,24.50,,8.1
WEL_8056324762553,24.50,,8.1
WEL_8056324762539,24.50,,8.1
WEL_8056324762577,24.50,,8.1
WEL_8056324762515,24.50,,8.1
WEL_3558380131069,36.00,,8.1
WEL_8056324762522,24.50,,8.1
WEL_850032180665,28.00,,8.1
WEL_0850064100167,39.00,,8.1
WEL_0850064100075,31.00,,8.1
WEL_0027084724578,29.00,,8.1
WEL_4250231743566,13.50,,8.1
WEL_4260402311562,41.00,,8.1
WEL_4015566605473,57.50,,8.1
WEL_4250231743542,56.00,,8.1
WEL_4250231743856,43.50,,8.1
WEL_0841333131630,32.50,,8.1
WEL_5425016928219,39.50,,8.1
WEL_0637836626861,51.50,,8.1
WEL_0841333134082,22.50,,8.1
WEL_0841333134020,28.50,,8.1
WEL_0810155273767,30.50,,8.1
WEL_0841333133931,28.50,,8.1
WEL_0841333133993,28.50,,8.1
WEL_0841333133849,35.00,,8.1
WEL_0841333133870,35.00,,8.1
WEL_0841333134051,22.00,,8.1
WEL_0841333133900,28.50,,8.1
WEL_0841333133818,28.50,,8.1
WEL_0841333132262,28.50,,8.1
WEL_4015566605831,36.50,,8.1
WEL_4015566605954,44.00,,8.1
WEL_0894769000438,48.00,,8.1
WEL_5425016929155,12.50,,8.1
WEL_0894769000407,53.50,,8.1
WEL_0841333134358,44.00,,8.1
WEL_5425016928899,42.00,,8.1
WEL_4260071884930,25.00,,8.1
WEL_4260071884015,25.00,,8.1
WEL_5704339006393,36.50,,8.1
WEL_4250231742637,59.00,,8.1
WEL_4250231743719,21.50,,8.1
WEL_4012426884689,36.50,,8.1
WEL_9783982686806,34.00,,8.1
WEL_4001504494667,68.50,,8.1
WEL_0824968073032,82.00,,8.1
WEL_4262360070307,74.00,,8.1
WEL_4250231743733,21.50,,8.1
WEL_4250231743283,17.00,,8.1
WEL_4260071883872,45.50,,8.1
WEL_0810171410566,43.50,,8.1
WEL_5425016928646,31.00,,8.1
WEL_4260071879844,16.50,,8.1
WEL_841333133139,100.00,,8.1
WEL_841333136918,82.00,,8.1
WEL_0601982047283,56.00,,8.1
WEL_4250231742675,70.50,,8.1
WEL_0810155273798,30.50,,8.1
WEL_5065014495025,18.00,,8.1
WEL_0618149324019,164.50,,8.1
WEL_3558380130116,47.50,,8.1
WEL_0850045365684,18.00,,8.1
WEL_0817054012855,121.50,,8.1
WEL_7640142763673,36.50,,8.1
WEL_3558380134367,53.50,,8.1
WEL_4260402311548,36.50,,8.1
WEL_3558380129776,41.50,,8.1
WEL_0630996915813,28.50,,8.1
WEL_4251715417911,79.00,,8.1
WEL_4251715417928,59.00,,8.1
WEL_3558380077213,15.50,,8.1
WEL_4250231743658,29.00,,8.1
WEL_0810155273781,30.50,,8.1
WEL_0810155273774,30.50,,8.1
WEL_4251715419328,30.00,,8.1
WEL_4251715419304,30.00,,8.1
WEL_4251715419311,30.00,,8.1
WEL_4251715419335,30.00,,8.1
WEL_4251715419182,12.00,,8.1
WEL_4251715419205,12.00,,8.1
WEL_4251715419212,12.00,,8.1
WEL_0732388600946,229.50,,8.1
WEL_4005556247554,48.00,,8.1
WEL_3558380132738,36.50,,8.1
WEL_4260071884961,23.50,,8.1
WEL_4251715419199,12.00,,8.1
WEL_4005556274895,45.50,,8.1
WEL_5425016929063,14.00,,8.1
WEL_0793588575571,59.00,,8.1
WEL_4260402316567,40.00,,8.1
WEL_0841333129200,54.00,,8.1
WEL_3558380129172,76.00,,8.1
WEL_4260705310538,59.00,,8.1
WEL_0841333133405,66.50,,8.1
WEL_0810171411778,25.00,,8.1
WEL_3558380132912,82.00,,8.1
WEL_0850045365813,59.00,,8.1
WEL_4010168046556,31.00,,8.1
WEL_9781837792313,57.50,,8.1
WEL_9781837792337,57.50,,8.1
WEL_5011921249053,116.00,,8.1
WEL_4250231744129,42.00,,8.1
WEL_0850024976153,30.00,,8.1
WEL_4250231743931,15.00,,8.1
WEL_5011921249084,116.00,,8.1
WEL_0850045365769,24.50,,8.1
WEL_4250231744655,11.50,,8.1
WEL_4260705310514,24.50,,8.1
WEL_4255682700205,76.50,,8.1
WEL_0860000996099,16.00,,8.1
WEL_0860000996044,16.00,,8.1
WEL_0850024976160,30.00,,8.1
WEL_0655132006903,18.50,,8.1
WEL_0860000996037,11.50,,8.1
WEL_0841333132392,166.00,,8.1
WEL_5011921248698,65.00,,8.1
WEL_5011921253975,31.00,,8.1
WEL_5011921259687,31.00,,8.1
WEL_5011921259748,31.00,,8.1
WEL_5011921248704,59.00,,8.1
WEL_5011921248766,139.00,,8.1
WEL_5011921258239,207.00,,8.1
WEL_5011921258246,207.00,,8.1
WEL_0810113711058,27.00,,8.1
WEL_9798989195343,25.00,,8.1
WEL_8436625610010,104.50,,8.1
WEL_8436607949947,36.50,,8.1
WEL_4015566026155,59.00,,8.1
WEL_0196214134546,36.50,,8.1
WEL_0196214125544,14.00,,8.1
WEL_5425016921937,36.50,,8.1
WEL_4251715418307,14.00,,8.1
WEL_4251715418314,14.00,,8.1
WEL_0630996909850,36.50,,8.1
WEL_4015566606098,41.00,,8.1
WEL_4260630776317,21.50,,8.1
WEL_5407009610349,51.00,,8.1
WEL_4250231743191,43.50,,8.1
WEL_4251715413517,28.00,,8.1
WEL_4251715413500,26.00,,8.1
WEL_4251715413494,10.50,,8.1
WEL_4251715405413,33.00,,8.1
WEL_4251715405390,23.00,,8.1
WEL_4251715413340,10.50,,8.1
