ProviderKey,SpecificationKey,SpecificationValue
NER_000448788515,Brand,Veja
NER_000906055982,Shoe size (EU),44.5
NER_000906055982,Brand,Timberland
NER_000906059911,Shoe size (EU),45.5
NER_000906059911,Brand,Timberland
NER_000906075782,Brand,Timberland
NER_000906075782,Color,Medium Brown
NER_000906075782,Target group,men
NER_000906075829,Brand,Timberland
NER_000906075829,Color,Medium Brown
NER_000906075829,Target group,men
NER_000906145416,Shoe size (EU),41
NER_000906145416,Brand,Timberland
NER_000906148370,Shoe size (EU),42
NER_000906148370,Brand,Timberland
NER_000906151035,Shoe size (EU),43.5
NER_000906151035,Brand,Timberland
NER_000906227600,Brand,Timberland
NER_000906227600,Color,Medium Brown
NER_000906227600,Target group,men
NER_000906227662,Brand,Timberland
NER_000906227662,Color,Medium Brown
NER_000906227662,Target group,men
NER_000906248896,Brand,Timberland
NER_000906248896,Color,Medium Brown
NER_000906248896,Target group,men
NER_000906252084,Brand,Timberland
NER_000906252084,Color,Medium Brown
NER_000906252084,Target group,men
NER_000906305117,Shoe size (EU),44
NER_000906305117,Brand,Timberland
NER_000906305155,Shoe size (EU),45
NER_000906305155,Brand,Timberland
NER_000906305216,Shoe size (EU),47.5
NER_000906305216,Brand,Timberland
NER_000906331765,Shoe size (EU),41.5
NER_000906331765,Brand,Timberland
NER_000906331789,Shoe size (EU),43
NER_000906331789,Brand,Timberland
NER_000906439232,Brand,Timberland
NER_000906439232,Color,Medium Brown
NER_000906439232,Target group,men
NER_000906654550,Brand,Timberland
NER_000906654550,Color,Medium Brown
NER_000906654550,Target group,men
NER_000906654567,Brand,Timberland
NER_000906654567,Color,Medium Brown
NER_000906654567,Target group,men
NER_001192685235,Brand,Veja
NER_004000034201,Brand,Adidas
NER_004000034201,Color,Bright Red
NER_004000034201,Target group,women
NER_004000034607,Shoe size (EU),47.5
NER_004000034607,Brand,New Balance
NER_004000034607,Color,Black
NER_004000034607,Target group,men
NER_004000040783,Shoe size (EU),42.5
NER_004000040783,Brand,New Balance
NER_004000046341,Brand,On
NER_004000046365,Brand,On
NER_004000050409,Brand,On
NER_004000050447,Brand,On
NER_004000050454,Brand,On
NER_004000050461,Brand,On
NER_004000050553,Brand,On
NER_004000050560,Brand,On
NER_0197634768663,Brand,Hoka
NER_0197634768663,Color,Black
NER_0197634768663,Target group,men
NER_0197634768670,Brand,Hoka
NER_0197634768670,Color,Black
NER_0197634768670,Target group,men
NER_0197634768724,Brand,Hoka
NER_0197634768724,Color,Black
NER_0197634768724,Target group,men
NER_0197634768731,Brand,Hoka
NER_0197634768731,Color,Black
NER_0197634768731,Target group,men
NER_0197634768748,Brand,Hoka
NER_0197634768748,Color,Black
NER_0197634768748,Target group,men
NER_0197634768809,Brand,Hoka
NER_0197634768809,Color,Black
NER_0197634768809,Target group,men
NER_0197634768816,Brand,Hoka
NER_0197634768816,Color,Black
NER_0197634768816,Target group,men
NER_0197634768823,Brand,Hoka
NER_0197634768823,Color,Black
NER_0197634768823,Target group,men
NER_0197634768854,Brand,Hoka
NER_0197634768854,Color,Black
NER_0197634768854,Target group,men
NER_0197634773117,Brand,HOKA ONE ONE
NER_0197634773117,Color,Black
NER_0197634773117,Target group,men
NER_0198605529597,Brand,HOKA
NER_0198605529597,Color,Black
NER_0198605529597,Target group,men
NER_0198727774639,Brand,Nike
NER_0198727774639,Color,Team Red/Blanc
NER_0198727774639,Target group,men
NER_0199289042204,Brand,Keen
NER_0199289042204,Color,Black
NER_0199289042204,Target group,men
NER_0199289042280,Brand,Keen
NER_0199289042280,Color,Black
NER_0199289042280,Target group,men
NER_0199289042297,Brand,Keen
NER_0199289042297,Color,Black
NER_0199289042297,Target group,men
NER_0199289042310,Brand,Keen
NER_0199289042310,Color,Black
NER_0199289042310,Target group,men
NER_0199289042327,Brand,Keen
NER_0199289042327,Color,Black
NER_0199289042327,Target group,men
NER_0199289042730,Brand,Keen
NER_0199289042730,Color,Black
NER_0199289042730,Target group,men
NER_0199289042754,Brand,Keen
NER_0199289042754,Color,Black
NER_0199289042754,Target group,men
NER_0199289042778,Brand,Keen
NER_0199289042778,Color,Black
NER_0199289042778,Target group,men
NER_0199289043690,Brand,Keen
NER_0199289043690,Color,Black
NER_0199289043690,Target group,men
NER_0199289043706,Brand,Keen
NER_0199289043706,Color,Black
NER_0199289043706,Target group,men
NER_0199289043720,Brand,Keen
NER_0199289043720,Color,Black
NER_0199289043720,Target group,men
NER_0199289043751,Brand,Keen
NER_0199289043751,Color,Black
NER_0199289043751,Target group,men
NER_0199289044055,Brand,Keen
NER_0199289044055,Color,Black
NER_0199289044055,Target group,men
NER_0199289044130,Brand,Keen
NER_0199289044130,Color,Black
NER_0199289044130,Target group,men
NER_0199289044147,Brand,Keen
NER_0199289044147,Color,Black
NER_0199289044147,Target group,men
NER_0199289044161,Brand,Keen
NER_0199289044161,Color,Black
NER_0199289044161,Target group,men
NER_0199289044178,Brand,Keen
NER_0199289044178,Color,Black
NER_0199289044178,Target group,men
NER_0199289044741,Brand,Keen
NER_0199289044741,Color,Black
NER_0199289044741,Target group,men
NER_0199289044765,Brand,Keen
NER_0199289044765,Color,Black
NER_0199289044765,Target group,men
NER_0199289044789,Brand,Keen
NER_0199289044789,Color,Black
NER_0199289044789,Target group,men
NER_0199289049005,Brand,Keen
NER_0199289049005,Color,Black
NER_0199289049005,Target group,men
NER_0199289049029,Brand,Keen
NER_0199289049029,Color,Black
NER_0199289049029,Target group,men
NER_0199289049043,Brand,Keen
NER_0199289049043,Color,Black
NER_0199289049043,Target group,men
NER_022859283120,Shoe size (EU),39.5
NER_022859283120,Brand,Converse
NER_022859283137,Shoe size (EU),40
NER_022859283137,Brand,Converse
NER_022859283175,Shoe size (EU),42.5
NER_022859283175,Brand,Converse
NER_022859470933,Shoe size (EU),37.5
NER_022859470933,Brand,Converse
NER_022859472975,Brand,Converse
NER_035887004308,Brand,Veja
NER_044208825485,Brand,Saucony
NER_044208825515,Brand,Saucony
NER_091204727589,Brand,Nike
NER_091204727589,Color,Blue
NER_091204727589,Target group,men
NER_091205777002,Shoe size (EU),41
NER_091205777002,Brand,Nike
NER_091205777002,Color,Black
NER_091205777002,Target group,men
NER_091205777408,Shoe size (EU),42.5
NER_091205777408,Brand,Nike
NER_091205777408,Color,Black
NER_091205777408,Target group,men
NER_091205777446,Shoe size (EU),44.5
NER_091205777446,Brand,Nike
NER_091205777446,Color,Black
NER_091205777446,Target group,men
NER_091205778115,Shoe size (EU),45
NER_091205778115,Brand,Nike
NER_091205778115,Color,Black
NER_091205778115,Target group,men
NER_1005202590051,Shoe size (EU),45
NER_1005202590051,Brand,New Balance
NER_1005202590051,Color,Outerspace / Mushroom
NER_1005202590051,Target group,men
NER_1200143229323,Brand,Reebok
NER_1200143229323,Color,Black
NER_1200143229323,Target group,men
NER_1200143660928,Brand,Reebok
NER_1200143660928,Color,Black
NER_1200143660928,Target group,women
NER_1200143660935,Brand,Reebok
NER_1200143660935,Color,Black
NER_1200143660935,Target group,women
NER_1200143660966,Brand,Reebok
NER_1200143660966,Color,Black
NER_1200143660966,Target group,women
NER_1200143669334,Brand,Reebok
NER_1200143669334,Color,Black
NER_1200143669334,Target group,men
NER_1200143669358,Brand,Reebok
NER_1200143669358,Color,Black
NER_1200143669358,Target group,men
NER_1200161018398,Brand,Reebok
NER_1200161018398,Color,Black
NER_1200161018398,Target group,men
NER_1200161018404,Brand,Reebok
NER_1200161018404,Color,Black
NER_1200161018404,Target group,men
NER_1200161225673,Brand,Reebok
NER_1200161225673,Color,Black
NER_1200161225673,Target group,men
NER_1200161225697,Brand,Reebok
NER_1200161225697,Color,Black
NER_1200161225697,Target group,men
NER_1200179274946,Brand,Reebok
NER_1200179274946,Color,Black
NER_1200179274946,Target group,men
NER_1200179274960,Brand,Reebok
NER_1200179274960,Color,Black
NER_1200179274960,Target group,men
NER_1200179274977,Brand,Reebok
NER_1200179274977,Color,Black
NER_1200179274977,Target group,men
NER_1200179274991,Brand,Reebok
NER_1200179274991,Color,Black
NER_1200179274991,Target group,men
NER_1200179275516,Brand,Reebok
NER_1200179275516,Color,Black
NER_1200179275516,Target group,men
NER_1200179275530,Brand,Reebok
NER_1200179275530,Color,Black
NER_1200179275530,Target group,men
NER_1200179275547,Brand,Reebok
NER_1200179275547,Color,Black
NER_1200179275547,Target group,men
NER_1200179340894,Brand,Reebok
NER_1200179340894,Color,Black
NER_1200179340894,Target group,men
NER_1200179340900,Brand,Reebok
NER_1200179340900,Color,Black
NER_1200179340900,Target group,men
NER_1200179340917,Brand,Reebok
NER_1200179340917,Color,Black
NER_1200179340917,Target group,men
NER_1200179340924,Brand,Reebok
NER_1200179340924,Color,Black
NER_1200179340924,Target group,men
NER_1200179340948,Brand,Reebok
NER_1200179340948,Color,Black
NER_1200179340948,Target group,men
NER_1200179340962,Brand,Reebok
NER_1200179340962,Color,Black
NER_1200179340962,Target group,men
NER_1200179340979,Brand,Reebok
NER_1200179340979,Color,Black
NER_1200179340979,Target group,men
NER_1200179340986,Brand,Reebok
NER_1200179340986,Color,Black
NER_1200179340986,Target group,men
NER_1200179340993,Brand,Reebok
NER_1200179340993,Color,Black
NER_1200179340993,Target group,men
NER_1200179341006,Brand,Reebok
NER_1200179341006,Color,Black
NER_1200179341006,Target group,men
NER_1200179341020,Brand,Reebok
NER_1200179341020,Color,Black
NER_1200179341020,Target group,men
NER_1200179341037,Brand,Reebok
NER_1200179341037,Color,Black
NER_1200179341037,Target group,men
NER_1200179341044,Brand,Reebok
NER_1200179341044,Color,Black
NER_1200179341044,Target group,men
NER_1200179350916,Brand,Reebok
NER_1200179350916,Color,Black
NER_1200179350916,Target group,men
NER_1200179350930,Brand,Reebok
NER_1200179350930,Color,Black
NER_1200179350930,Target group,men
NER_1200179350947,Brand,Reebok
NER_1200179350947,Color,Black
NER_1200179350947,Target group,men
NER_1200179350961,Brand,Reebok
NER_1200179350961,Color,Black
NER_1200179350961,Target group,men
NER_1200179351760,Brand,Reebok
NER_1200179351760,Color,Black
NER_1200179351760,Target group,men
NER_1200179351784,Brand,Reebok
NER_1200179351784,Color,Black
NER_1200179351784,Target group,men
NER_1200179351791,Brand,Reebok
NER_1200179351791,Color,Black
NER_1200179351791,Target group,men
NER_1200179352828,Brand,Reebok
NER_1200179352828,Color,Black
NER_1200179352828,Target group,men
NER_1200179352835,Brand,Reebok
NER_1200179352835,Color,Black
NER_1200179352835,Target group,men
NER_1200179352842,Brand,Reebok
NER_1200179352842,Color,Black
NER_1200179352842,Target group,men
NER_1200179352859,Brand,Reebok
NER_1200179352859,Color,Black
NER_1200179352859,Target group,men
NER_1200179352866,Brand,Reebok
NER_1200179352866,Color,Black
NER_1200179352866,Target group,men
NER_1200179352873,Brand,Reebok
NER_1200179352873,Color,Black
NER_1200179352873,Target group,men
NER_1200179352880,Brand,Reebok
NER_1200179352880,Color,Black
NER_1200179352880,Target group,men
NER_1200179352897,Brand,Reebok
NER_1200179352897,Color,Black
NER_1200179352897,Target group,men
NER_1200179352903,Brand,Reebok
NER_1200179352903,Color,Black
NER_1200179352903,Target group,men
NER_1200179352910,Brand,Reebok
NER_1200179352910,Color,Black
NER_1200179352910,Target group,men
NER_1200179357670,Brand,Reebok
NER_1200179357670,Color,Black
NER_1200179357670,Target group,women
NER_1200179357687,Brand,Reebok
NER_1200179357687,Color,Black
NER_1200179357687,Target group,women
NER_1200179357694,Brand,Reebok
NER_1200179357694,Color,Black
NER_1200179357694,Target group,women
NER_1200179357700,Brand,Reebok
NER_1200179357700,Color,Black
NER_1200179357700,Target group,women
NER_1200179357717,Brand,Reebok
NER_1200179357717,Color,Black
NER_1200179357717,Target group,women
NER_1200179357724,Brand,Reebok
