supplier,product_url,supplier_sku,name,brand,mpn,gtin,gtin_qty,sales_unit,packaging,price,currency,price_basis,vat_rate,price_tiers,moq,stock,availability,lead_time_days,weight_kg,origin_country,hs_code,image_url,scrape_timestamp,gtin_valid,gtin_reason,parse_error,sample_bucket
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/bresser-sonnenfinsternis-brille-1-stueck/id/4007922060668/,4007922060668,"BRESSER Sonnenfinsternis-Brille, 1 Stück",,,4007922060668,1,1,,3.9,CHF,gross,0.081,,,in_stock_unquantified,Auslieferung erfolgt in der Regel innert 3 Wochen.,,,,,https://exlibris.azureedge.net/covers/4007/9220/6066/8/4007922060668m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/skyjo/id/4260470080001/,4260470080001,Skyjo,,,4260470080001,1,1,,19.9,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/4260/4700/8000/1/4260470080001m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/tonie-globis-verrueckte-abenteuer-schweizerdeutsch/id/4251192146748/,4251192146748,Tonie Globis verrückte Abenteuer (schweizerdeutsch),,,4251192146748,1,1,,18.9,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/4251/1921/4674/8/4251192146748m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/wasserperlen-110g/id/4018587794065/,4018587794065,"Wasserperlen, 110g",,,4018587794065,1,1,,4.9,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/4018/5877/9406/5/4018587794065m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/flip-7/id/4002051685430/,4002051685430,Flip 7,,,4002051685430,1,1,,15.1,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/4002/0516/8543/0/4002051685430m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/hitster/id/8710126198872/,8710126198872,Hitster,,,8710126198872,1,1,,21.9,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/8710/1261/9887/2/8710126198872m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/tonie-pokemon-pikachu/id/4251192129161/,4251192129161,Tonie Pokémon: Pikachu,,,4251192129161,1,1,,18.9,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/noimage_m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/uno-flip-spiel/id/0887961751062/,0887961751062,UNO Flip (Spiel),,,0887961751062,1,1,,11.4,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/0887/9617/5106/2/0887961751062m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/tonie-pokemon-glumanda/id/4251192175595/,4251192175595,Tonie Pokémon: Glumanda,,,4251192175595,1,1,,18.9,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/noimage_m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/cabo/id/4270003101202/,4270003101202,Cabo,,,4270003101202,1,1,,11.5,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/4270/0031/0120/2/4270003101202m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/tonie-pokemon-schiggy/id/4251192175618/,4251192175618,Tonie Pokémon: Schiggy,,,4251192175618,1,1,,18.9,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/noimage_m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/tonie-pokemon-bisasam/id/4251192175571/,4251192175571,Tonie Pokémon: Bisasam,,,4251192175571,1,1,,18.9,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/noimage_m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/original-rummikub-travel-pouch-spiel/id/8710126039762/,8710126039762,"Original Rummikub, Travel Pouch (Spiel)",,,8710126039762,1,1,,19.9,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/8710/1260/3976/2/8710126039762m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/dobble/id/3558380102649/,3558380102649,Dobble,,,3558380102649,1,1,,15.1,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/3558/3801/0264/9/3558380102649m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/biberbande-kartenspiel/id/4007396029208/,4007396029208,Biberbande (Kartenspiel),,,4007396029208,1,1,,9.5,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/4007/3960/2920/8/4007396029208m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/uno-kartenspiel/id/0746775036744/,0746775036744,UNO (Kartenspiel),,,0746775036744,1,1,,11.2,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/0746/7750/3674/4/0746775036744m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/uno-junior-kinderspiel/id/0887961824728/,0887961824728,UNO Junior (Kinderspiel),,,0887961824728,1,1,,10.3,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/0887/9618/2472/8/0887961824728m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/tonie-pippi-langstrumpf-das-hoerspiel-relaunch/id/4251192136442/,4251192136442,Tonie Pippi Langstrumpf Das Hörspiel (Relaunch),,,4251192136442,1,1,,18.9,CHF,gross,0.081,,,in_stock_unquantified,Auslieferung erfolgt in der Regel innert 3 bis 6 Wochen.,,,,,https://exlibris.azureedge.net/covers/4251/1921/3644/2/4251192136442m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/hitster-ch-version/id/8721017600268/,8721017600268,Hitster CH Version,,,8721017600268,1,1,,26.9,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/8721/0176/0026/8/8721017600268m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
exlibris,https://www.exlibris.ch/de/hobby-spiele-brettspiele/qwixx-das-wuerfelspiel/id/7640142761150/,7640142761150,Qwixx - Das Würfelspiel,,,7640142761150,1,1,,10,CHF,gross,0.081,,,in_stock_unquantified,Sofort versandbereit,,,,,https://exlibris.azureedge.net/covers/7640/1427/6115/0/7640142761150m.webp,2026-09-01T18:28:46+02:00,1,ok,,spiele
